sounds/8th_planet_research.mp3;155
7989;left
11086;right
14183;left
17279;right
20376;left
21925;right
23473;right
26570;dash_left
29666;right
32763;right
35860;left
37408;right
38957;dash_right
42054;left
45150;right
48247;right
51344;dash_left
54441;left
55989;left
57537;right
59086;right
60634;right
63731;thunder
66828;right
68376;left
69925;left
73021;right
75344;left
76118;thunder
79215;right
82312;left
83860;left
85408;right
86957;left
88505;dash_right
90054;right
91602;left
94699;right
96247;left
97795;right
100892;dash_left
102441;left
103989;right
105537;right
107086;left
110183;dash_left
111731;dash_right
113279;dash_left
114441;dash_right
117000;end
