sounds/chaoz_fantasy.mp3;162
12784;left
15740;left
18697;right
21654;right
24610;dash_left
26088;left
27197;right
28306;right
30523;left
32002;right
33110;right
34589;left
36436;dash_right
37915;right
39393;left
42350;right
43828;right
45306;left
48263;dash_left
49371;right
50850;right
52328;left
53806;right
55285;left
56763;left
58611;right
60089;dash_left
61567;left
63046;right
64523;right
66002;left
67111;right
68220;left
69328;right
70436;dash_left
71915;dash_right
74872;dash_right
76350;left
77828;right
79307;right
80785;left
82263;right
83742;dash_left
95568;right
97046;right
98524;left
101481;right
102590;left
103698;left
104807;right
105916;dash_right
107394;dash_left
108872;left
110351;right
111829;left
113307;left
114786;right
116264;right
117742;right
119221;left
122177;right
123655;right
125134;left
126242;right
127351;left
128460;left
129569;dash_right
131047;dash_left
135000;end
